Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,武汉,重度污染,179,208,150,207,69,106,2.01,28,262.5,0.005001068115234375,101128.0,0.003433000296354294,122.25,279.0299987792969,1.7919960021972656
2014-01-02,武汉,重度污染,179,221,179,252,88,110,2.37,19,290.5,0.0,101128.0,0.0038840007036924362,89.25,279.989990234375,1.3559989929199219
2014-01-03,武汉,重度污染,153,217,174,226,63,83,1.72,30,268.25,0.0,101128.0,0.003049001097679138,115.5,279.0899963378906,1.8439979553222656
2014-01-04,武汉,轻度污染,117,146,110,181,71,86,1.6,21,248.5,0.0,101128.0,0.0027799997478723526,134.5,277.8999938964844,1.1199989318847656
2014-01-05,武汉,中度污染,133,191,146,211,88,91,2.15,27,260.75,0.0,101128.0,0.002894001081585884,133.75,281.0099792480469,2.0559959411621094
2014-01-06,武汉,重度污染,156,238,192,236,77,87,2.07,20,328.5,0.0800018310546875,101128.0,0.004620000720024109,36.25,280.5199890136719,2.161998748779297
2014-01-07,武汉,严重污染,182,317,267,139,28,63,2.32,12,319.5,0.7075004577636719,101128.0,0.005103999748826027,32.0,278.5,3.39599609375
2014-01-08,武汉,重度污染,190,249,199,74,60,61,2.1,29,316.5,0.02500152587890625,101128.0,0.004213999956846237,29.75,277.16998291015625,2.4879989624023438
2014-01-09,武汉,严重污染,189,258,208,168,78,76,2.48,23,307.0,0.005001068115234375,101128.0,0.0037050005048513412,34.0,275.79998779296875,1.4279975891113281
2014-01-10,武汉,中度污染,148,167,128,122,63,66,1.73,21,314.75,0.1725006103515625,101128.0,0.004336001351475716,36.25,277.5400085449219,2.14599609375
2014-01-11,武汉,轻度污染,100,120,91,73,32,53,1.33,25,312.5,0.08750152587890625,101128.0,0.004532000049948692,33.75,276.8800048828125,1.1079978942871094
2014-01-12,武汉,重度污染,178,205,160,181,63,68,1.68,22,263.5,0.0,101128.0,0.0036239996552467346,109.75,276.92999267578125,2.6039962768554688
2014-01-13,武汉,严重污染,189,316,265,288,75,87,2.36,21,262.75,0.0,101128.0,0.003390999510884285,104.0,275.4499816894531,1.30999755859375
2014-01-14,武汉,严重污染,183,274,223,260,69,87,2.51,19,255.25,0.0,101128.0,0.0036980006843805313,114.0,275.94000244140625,1.9319953918457031
2014-01-15,武汉,重度污染,126,202,158,196,65,70,1.86,29,256.75,0.0,101128.0,0.0033260006457567215,125.25,276.8800048828125,1.9339981079101562
2014-01-16,武汉,中度污染,107,160,122,162,79,95,1.77,27,273.75,0.0,101128.0,0.0036970004439353943,119.25,279.91998291015625,1.8119964599609375
2014-01-17,武汉,严重污染,169,285,235,272,73,100,1.97,35,262.0,0.0,101128.0,0.003607001155614853,127.0,278.3500061035156,1.9079971313476562
2014-01-18,武汉,严重污染,166,283,232,269,96,95,2.25,33,243.25,0.0,101128.0,0.0026660002768039703,142.5,276.1999816894531,2.1139984130859375
2014-01-19,武汉,严重污染,156,271,220,264,90,102,2.21,28,257.75,0.0,101128.0,0.0033350009471178055,136.75,278.4100036621094,1.7039985656738281
2014-01-20,武汉,中度污染,145,184,140,199,56,81,1.59,35,243.5,0.0,101128.0,0.00238100066781044,146.0,276.8800048828125,1.9499969482421875
2014-01-21,武汉,良,119,95,68,128,61,73,1.42,28,234.5,0.0,101128.0,0.0021740011870861053,151.75,275.17999267578125,1.8239974975585938
2014-01-22,武汉,轻度污染,138,127,96,139,65,73,1.46,33,252.25,0.0,101128.0,0.0026399996131658554,146.25,278.5799865722656,2.0319976806640625
2014-01-24,武汉,中度污染,124,163,126,178,70,102,1.89,44,284.5,0.0,101128.0,0.0036110002547502518,146.5,285.3599853515625,2.2499961853027344
2014-01-25,武汉,严重污染,187,295,244,275,105,95,2.45,46,298.25,0.0,101128.0,0.0031589996069669724,93.5,281.1600036621094,2.0219955444335938
2014-01-26,武汉,严重污染,190,338,287,297,84,86,2.77,46,332.0,0.012500762939453125,101128.0,0.004225000739097595,37.25,280.8699951171875,1.7779960632324219
2014-01-27,武汉,严重污染,172,261,214,213,55,75,2.16,31,322.5,0.0,101128.0,0.004910999909043312,62.5,281.6199951171875,1.6179962158203125
2014-01-28,武汉,严重污染,186,335,284,293,49,76,2.29,27,334.5,0.6875,101128.0,0.005676001310348511,39.75,281.25,1.2719955444335938
2014-01-29,武汉,严重污染,187,337,286,31,27,47,2.08,33,329.75,0.01000213623046875,101128.0,0.005939001217484474,37.75,280.2699890136719,1.8759956359863281
2014-01-30,武汉,中度污染,110,193,148,108,41,54,2.59,40,318.75,0.0,101128.0,0.006845999509096146,90.75,283.8399963378906,2.1299972534179688
2014-01-31,武汉,重度污染,105,223,176,204,55,52,1.98,45,334.5,0.125,101128.0,0.008566999807953835,147.25,290.6000061035156,2.3799972534179688
2014-02-01,武汉,严重污染,171,268,219,234,16,41,2.04,40,322.75,0.4524993896484375,100950.0,0.007495000958442688,121.75,286.1600036621094,1.8039970397949219
2014-02-02,武汉,严重污染,173,280,230,256,35,62,2.6,28,319.75,0.19250106811523438,100950.0,0.007455000653862953,126.75,286.03997802734375,2.1299972534179688
2014-02-03,武汉,中度污染,178,190,148,109,29,35,2.55,27,333.25,0.005001068115234375,100944.0,0.005233000963926315,40.75,280.9499816894531,5.649997711181641
2014-02-04,武汉,良,100,58,40,37,25,26,1.0,38,318.75,0.08500289916992188,100940.0,0.004408000037074089,43.75,278.4100036621094,3.4759979248046875
2014-02-05,武汉,优,85,47,31,11,19,23,0.83,40,300.25,0.4125022888183594,100934.0,0.0039809998124837875,41.25,274.75,3.391998291015625
2014-02-06,武汉,优,80,43,29,7,22,24,0.87,29,302.5,0.9350013732910156,100934.0,0.004002999514341354,38.5,274.739990234375,2.4399986267089844
2014-02-07,武汉,良,112,63,42,40,26,25,0.9,42,300.0,0.1875,100934.0,0.0036570001393556595,42.75,274.5400085449219,2.453998565673828
2014-02-08,武汉,中度污染,176,157,590,31,24,24,0.89,63,301.5,0.030002593994140625,100934.0,0.0034570004791021347,42.75,274.5899963378906,3.8139991760253906
2014-02-09,武汉,轻度污染,190,146,111,72,39,26,1.2,66,292.5,0.06750106811523438,100932.0,0.002771001309156418,45.0,272.8899841308594,5.471996307373047
2014-02-10,武汉,轻度污染,170,107,80,28,46,26,1.04,69,240.0,0.0,100930.0,0.0021570008248090744,134.75,271.2599792480469,3.1859970092773438
2014-02-11,武汉,轻度污染,146,114,86,55,42,39,1.07,61,234.25,0.0,100932.0,0.0023060012608766556,161.75,272.9100036621094,1.6139984130859375
2014-02-12,武汉,良,106,100,74,74,32,38,0.9,62,296.75,0.005001068115234375,100934.0,0.0026540011167526245,49.5,274.3299865722656,3.2959976196289062
2014-02-13,武汉,轻度污染,141,135,102,10,24,35,0.94,58,294.5,0.00250244140625,100932.0,0.0031340010464191437,48.25,273.5199890136719,2.1299972534179688
2014-02-14,武汉,轻度污染,101,120,91,85,35,53,1.14,45,252.5,0.005001068115234375,100936.0,0.003421999514102936,153.25,275.3399963378906,1.7039985656738281
2014-02-15,武汉,轻度污染,98,131,99,98,57,53,1.33,38,290.5,0.00250244140625,100940.0,0.004115000367164612,109.0,278.41998291015625,1.5619964599609375
2014-02-16,武汉,轻度污染,135,137,104,92,31,58,1.19,22,316.0,0.032501220703125,100938.0,0.004622001200914383,46.75,277.75,1.7299957275390625
2014-02-17,武汉,轻度污染,144,125,94,29,22,36,1.25,25,308.25,0.4900016784667969,100936.0,0.004257000982761383,47.0,276.0299987792969,2.897998809814453
2014-02-18,武汉,优,39,42,26,18,19,28,0.73,54,297.0,0.2999992370605469,100934.0,0.0034480001777410507,47.5,273.82000732421875,2.9299964904785156
2014-02-19,武汉,良,70,74,52,67,31,55,0.83,43,250.0,0.0,100934.0,0.0034999996423721313,159.75,274.75,1.4379959106445312
2014-02-20,武汉,轻度污染,113,114,86,114,70,58,1.52,27,258.5,0.005001068115234375,100942.0,0.003584999591112137,187.0,280.0199890136719,3.1739959716796875
2014-02-21,武汉,轻度污染,62,108,81,145,45,87,1.22,42,289.0,0.0,100946.0,0.00444599986076355,167.25,283.78997802734375,2.53399658203125
2014-02-22,武汉,轻度污染,73,115,85,148,62,82,1.56,33,342.25,0.0,100948.0,0.005196999758481979,71.25,285.07000732421875,2.013996124267578
2014-02-23,武汉,重度污染,152,208,159,191,44,77,1.63,26,352.75,0.21000289916992188,100948.0,0.006246000528335571,50.25,284.8500061035156,1.5279960632324219
2014-02-24,武汉,中度污染,130,172,131,60,34,63,1.54,17,341.5,1.1550025939941406,100946.0,0.007027000188827515,45.5,282.5799865722656,2.0019989013671875
2014-02-25,武汉,轻度污染,82,103,77,50,25,40,1.36,22,340.75,0.13249969482421875,100944.0,0.006567999720573425,46.25,282.2599792480469,1.2879981994628906
2014-02-26,武汉,轻度污染,86,102,76,59,28,50,1.34,16,350.75,0.0,100948.0,0.0070700012147426605,50.5,284.25,1.5459976196289062
2014-02-27,武汉,轻度污染,115,102,76,88,28,53,1.53,16,346.25,1.3250007629394531,100946.0,0.007194999605417252,46.5,283.1399841308594,2.8479957580566406
2014-02-28,武汉,优,36,48,33,9,22,34,1.37,21,333.75,0.6124992370605469,100942.0,0.006257999688386917,45.5,280.8999938964844,3.3539962768554688
2014-03-01,武汉,良,122,79,58,60,11,36,0.87,24,320.5,0.07500076293945312,100940.0,0.004837000742554665,54.75,278.66998291015625,3.355998992919922
2014-03-02,武汉,轻度污染,152,143,109,109,32,43,1.21,24,324.75,0.00749969482421875,100940.0,0.005349000915884972,56.0,279.4499816894531,1.8479957580566406
2014-03-03,武汉,轻度污染,151,138,104,114,40,54,1.38,30,334.5,0.00749969482421875,100944.0,0.005790000781416893,64.0,281.8299865722656,1.4399986267089844
2014-03-04,武汉,轻度污染,171,135,102,93,42,61,1.37,38,307.75,0.0,100946.0,0.005934000015258789,152.75,282.80999755859375,1.8179969787597656
2014-03-05,武汉,轻度污染,158,108,81,108,41,59,1.14,67,305.5,0.0149993896484375,100950.0,0.005656000226736069,180.25,285.3399963378906,2.14599609375
2014-03-06,武汉,轻度污染,166,115,87,89,33,48,1.09,50,338.0,0.12750244140625,100944.0,0.00583299994468689,55.5,282.0,2.7439956665039062
2014-03-07,武汉,良,90,64,44,52,47,42,0.94,50,328.25,0.13500213623046875,100942.0,0.005133999511599541,59.5,280.2799987792969,1.779998779296875
2014-03-08,武汉,轻度污染,127,101,75,94,23,47,0.92,53,316.5,0.00749969482421875,100944.0,0.005408000200986862,109.0,281.4599914550781,1.5659980773925781
2014-03-09,武汉,轻度污染,152,131,99,131,40,71,1.31,43,286.75,0.0,100944.0,0.005248000845313072,198.75,282.5099792480469,1.3859977722167969
2014-03-10,武汉,轻度污染,102,102,76,109,56,59,1.17,67,286.75,0.0,100948.0,0.005132000893354416,225.75,284.41998291015625,2.227996826171875
2014-03-11,武汉,轻度污染,87,101,75,111,54,66,1.21,26,359.0,0.032501220703125,100948.0,0.007628001272678375,56.75,285.4100036621094,1.4979972839355469
2014-03-12,武汉,轻度污染,163,139,93,160,36,42,1.24,26,337.25,0.00749969482421875,100948.0,0.0065299998968839645,95.75,284.29998779296875,3.7299957275390625
2014-03-13,武汉,良,115,81,58,102,32,45,0.85,44,279.25,0.0,100944.0,0.00426500104367733,202.25,281.3999938964844,1.391998291015625
2014-03-14,武汉,轻度污染,157,107,79,123,37,64,1.02,53,289.25,0.0,100948.0,0.004939001053571701,229.5,285.3800048828125,2.0939979553222656
2014-03-15,武汉,良,85,97,71,127,38,72,1.08,61,299.25,0.0,100950.0,0.005243999883532524,225.5,286.489990234375,2.427997589111328
2014-03-16,武汉,轻度污染,117,118,89,154,39,78,1.21,42,322.25,0.06999969482421875,100954.0,0.007044000551104546,212.5,288.739990234375,1.7699966430664062
2014-03-17,武汉,轻度污染,102,124,91,164,48,75,1.43,42,340.25,0.0,100958.0,0.008936000987887383,231.75,292.16998291015625,2.5479965209960938
2014-03-18,武汉,轻度污染,109,144,108,191,64,81,1.49,24,389.25,0.00250244140625,100958.0,0.009960000403225422,104.5,293.30999755859375,2.7619972229003906
2014-03-19,武汉,轻度污染,167,145,107,197,27,34,1.18,49,359.75,0.3950004577636719,100950.0,0.006992001086473465,62.25,286.04998779296875,4.911998748779297
2014-03-20,武汉,良,166,99,72,100,31,39,0.91,63,334.0,0.00250244140625,100946.0,0.004707001149654388,85.25,282.8699951171875,3.0119972229003906
2014-03-21,武汉,轻度污染,169,101,74,114,44,63,1.19,57,284.75,0.0,100946.0,0.005084000527858734,229.0,282.67999267578125,1.7359962463378906
2014-03-22,武汉,轻度污染,164,120,86,144,48,83,1.4,54,310.75,0.10250091552734375,100950.0,0.005897000432014465,212.25,286.78997802734375,1.6099967956542969
2014-03-23,武汉,中度污染,168,152,114,186,47,96,1.58,22,366.0,0.01000213623046875,100950.0,0.007990000769495964,62.5,286.97998046875,1.6559982299804688
2014-03-25,武汉,良,74,94,69,89,12,58,1.32,27,355.5,0.08500289916992188,100954.0,0.009835000149905682,153.25,289.3599853515625,2.181995391845703
2014-03-26,武汉,轻度污染,102,113,85,119,53,70,1.89,42,349.5,0.00749969482421875,100958.0,0.009690999984741211,220.75,292.2200012207031,1.8419990539550781
2014-03-27,武汉,良,64,96,69,122,57,65,1.39,67,366.5,0.0,100962.0,0.010801000520586967,233.75,295.4100036621094,2.5979957580566406
2014-03-28,武汉,良,72,73,50,84,40,56,1.13,51,373.0,2.3474998474121094,100962.0,0.012670000083744526,232.25,295.32000732421875,2.2059974670410156
2014-03-29,武汉,轻度污染,126,112,70,147,30,50,1.11,83,354.75,0.21500015258789062,100960.0,0.010333000682294369,235.75,293.6499938964844,1.9819984436035156
2014-03-30,武汉,轻度污染,145,124,89,171,43,57,1.24,81,372.75,0.042499542236328125,100958.0,0.00890200026333332,162.75,293.3299865722656,3.4179954528808594
2014-03-31,武汉,良,104,87,62,99,28,48,0.98,81,368.5,0.012500762939453125,100954.0,0.007427999749779701,86.5,288.989990234375,2.0879974365234375
2014-04-01,武汉,良,114,93,68,121,38,75,1.27,62,332.25,0.012500762939453125,100954.0,0.006921000778675079,214.75,288.8399963378906,1.7199974060058594
2014-04-02,武汉,轻度污染,165,119,88,155,45,84,1.45,73,357.5,0.18250274658203125,100958.0,0.008822999894618988,202.0,292.1000061035156,1.3079986572265625
2014-04-03,武汉,轻度污染,170,121,88,154,30,59,1.14,96,333.5,0.020000457763671875,100958.0,0.007702000439167023,264.25,292.1099853515625,4.077999114990234
2014-04-04,武汉,中度污染,186,166,125,185,40,55,1.35,102,335.5,0.00250244140625,100954.0,0.008315000683069229,237.75,290.1999816894531,1.279998779296875
2014-04-05,武汉,中度污染,186,182,138,200,28,79,1.3,72,365.25,0.14500045776367188,100956.0,0.008286001160740852,157.0,291.67999267578125,2.139995574951172
2014-04-06,武汉,良,145,96,71,110,38,48,1.16,59,370.75,0.31999969482421875,100952.0,0.008191000670194626,70.25,288.07000732421875,1.9999961853027344
2014-04-07,武汉,轻度污染,162,115,86,67,33,49,1.16,56,376.0,0.022502899169921875,100952.0,0.009358000010251999,70.75,288.7200012207031,1.4699974060058594
2014-04-08,武汉,轻度污染,129,130,98,135,37,81,1.54,50,340.75,0.08750152587890625,100956.0,0.00964400079101324,247.5,290.8899841308594,0.9679985046386719
2014-04-09,武汉,轻度污染,134,131,95,150,34,81,1.47,69,352.5,0.05500030517578125,100960.0,0.009959000162780285,267.0,294.07000732421875,2.053997039794922
2014-04-10,武汉,良,85,90,61,121,49,63,1.1,75,385.25,0.01000213623046875,100962.0,0.009757000021636486,158.0,294.97998046875,3.08599853515625
2014-04-11,武汉,良,79,79,53,84,18,43,1.12,55,390.0,1.1775016784667969,100956.0,0.011783000081777573,71.75,291.03997802734375,3.2319984436035156
2014-04-12,武汉,良,82,73,51,44,6,27,1.19,56,365.0,0.09250259399414062,100950.0,0.008633000776171684,69.0,286.72998046875,2.5499954223632812
2014-04-13,武汉,良,89,75,53,62,20,24,1.05,66,377.5,0.00250244140625,100954.0,0.009402000345289707,72.25,288.8899841308594,1.7699966430664062
2014-04-14,武汉,良,37,65,46,70,23,35,0.77,77,365.5,0.02500152587890625,100958.0,0.010226000100374222,203.25,292.78997802734375,2.497997283935547
2014-04-15,武汉,良,74,77,55,71,31,46,1.14,52,391.0,1.3125,100956.0,0.011636000126600266,69.5,291.05999755859375,3.0759963989257812
2014-04-16,武汉,良,29,55,35,39,25,35,1.04,44,379.0,0.375,100954.0,0.010710000060498714,71.25,289.17999267578125,2.471996307373047
2014-04-17,武汉,良,44,58,39,53,20,44,1.03,56,396.5,0.0,100958.0,0.011224000714719296,72.5,292.1399841308594,1.7359962463378906
2014-04-18,武汉,良,64,65,44,65,32,44,1.01,36,397.25,0.3925018310546875,100958.0,0.012171000242233276,85.25,292.5899963378906,3.4939956665039062
2014-04-19,武汉,优,34,46,18,23,16,22,0.7,77,373.0,0.13000106811523438,100954.0,0.009239999577403069,86.25,288.7099914550781,3.615997314453125
2014-04-20,武汉,良,130,83,59,82,24,45,1.01,67,381.75,0.6700019836425781,100954.0,0.009882000274956226,72.25,289.5,1.529998779296875
2014-04-21,武汉,优,21,44,26,31,18,35,0.85,55,372.5,0.8899993896484375,100952.0,0.009937000460922718,69.75,288.07000732421875,2.527996063232422
2014-04-22,武汉,良,82,71,50,68,22,37,0.85,76,366.0,0.005001068115234375,100954.0,0.009137000888586044,133.75,289.6300048828125,1.7939987182617188
2014-04-23,武汉,良,57,71,49,66,36,54,1.1,50,377.5,0.21500015258789062,100956.0,0.010123000480234623,110.75,290.44000244140625,1.9499969482421875
2014-04-24,武汉,良,77,78,56,81,33,61,1.27,22,389.75,0.042499542236328125,100956.0,0.011546000838279724,71.5,290.82000732421875,1.4599990844726562
2014-04-25,武汉,良,126,85,61,75,23,51,1.19,26,388.75,0.5250015258789062,100956.0,0.01166900061070919,69.0,290.7099914550781,2.345996856689453
2014-04-26,武汉,良,86,60,35,61,19,28,0.82,66,366.0,0.05500030517578125,100956.0,0.009600000455975533,154.75,290.22998046875,3.0199966430664062
2014-04-27,武汉,良,142,88,47,118,22,37,0.77,86,334.0,0.00749969482421875,100956.0,0.00869700126349926,266.75,290.2200012207031,2.4059982299804688
2014-04-28,武汉,良,144,85,48,111,23,62,0.86,78,335.75,0.0,100956.0,0.008414000272750854,266.75,290.47998046875,1.9499969482421875
2014-04-29,武汉,良,81,82,53,109,34,75,1.0,65,356.25,0.0,100958.0,0.008977999910712242,249.0,293.3599853515625,1.1759986877441406
2014-04-30,武汉,轻度污染,111,101,63,129,32,57,0.81,70,343.25,0.0,100958.0,0.009011000394821167,291.25,292.6600036621094,2.385997772216797
2014-05-01,武汉,轻度污染,100,108,67,163,24,70,1.06,71,362.75,0.02500152587890625,100960.0,0.010463000275194645,289.25,295.32000732421875,2.3739967346191406
2014-05-02,武汉,轻度污染,178,131,65,209,25,51,0.8,57,370.75,0.0175018310546875,100958.0,0.00755700096487999,165.5,292.69000244140625,3.069995880126953
2014-05-03,武汉,轻度污染,179,118,54,184,34,50,0.8,63,364.0,0.13249969482421875,100958.0,0.009317999705672264,221.75,293.2200012207031,1.9399986267089844
2014-05-04,武汉,良,137,82,54,105,21,39,0.74,58,378.25,0.01000213623046875,100954.0,0.009843000210821629,71.75,288.8399963378906,2.197998046875
2014-05-05,武汉,良,178,95,52,137,36,58,0.99,71,335.75,0.0,100954.0,0.007778000086545944,255.75,289.8699951171875,2.003997802734375
2014-05-06,武汉,良,140,94,54,131,40,70,0.97,83,342.75,0.0,100960.0,0.008642001077532768,307.0,293.79998779296875,2.221996307373047
2014-05-07,武汉,轻度污染,156,102,69,152,28,74,0.92,76,367.5,0.01000213623046875,100960.0,0.010903000831604004,272.75,295.0899963378906,2.1999969482421875
2014-05-08,武汉,轻度污染,149,112,80,155,35,60,1.14,81,386.5,0.030002593994140625,100966.0,0.011606000363826752,288.5,298.92999267578125,3.467998504638672
2014-05-09,武汉,良,75,67,46,71,31,36,0.91,66,405.5,0.3899993896484375,100960.0,0.013268000446259975,76.75,293.53997802734375,3.7439956665039062
2014-05-10,武汉,优,45,46,30,32,20,35,1.0,39,399.25,0.8050003051757812,100958.0,0.01294500008225441,74.75,292.28997802734375,3.4559974670410156
2014-05-11,武汉,良,93,55,24,48,19,33,0.96,78,352.75,0.16500091552734375,100958.0,0.009992999956011772,239.0,291.66998291015625,1.8039970397949219
2014-05-12,武汉,良,133,84,51,103,33,72,1.08,81,365.0,0.02500152587890625,100960.0,0.01016900036484003,266.25,294.32000732421875,2.2519989013671875
2014-05-13,武汉,良,123,92,67,110,41,67,1.29,54,388.25,0.9050025939941406,100960.0,0.012478000484406948,159.25,293.6999816894531,1.6999969482421875
2014-05-14,武汉,良,97,79,56,64,17,33,0.99,74,389.5,0.4125022888183594,100960.0,0.011862000450491905,137.75,293.3399963378906,2.1199989318847656
2014-05-15,武汉,良,103,80,37,103,27,48,0.77,83,341.75,0.12250137329101562,100958.0,0.008847000077366829,313.0,293.07000732421875,1.7819976806640625
2014-05-16,武汉,轻度污染,165,126,90,183,43,98,1.44,61,399.5,0.037502288818359375,100960.0,0.011166000738739967,127.25,294.4499816894531,1.2879981994628906
2014-05-17,武汉,良,120,100,73,103,24,46,0.89,64,400.75,0.027500152587890625,100958.0,0.011945000849664211,80.25,292.66998291015625,1.3379974365234375
2014-05-18,武汉,轻度污染,172,131,99,137,28,72,1.26,48,397.0,0.0,100960.0,0.012828000821173191,127.75,293.97998046875,1.4399986267089844
2014-05-19,武汉,中度污染,173,153,115,159,28,80,1.36,42,411.5,0.157501220703125,100960.0,0.013029000721871853,76.5,294.5299987792969,1.6239967346191406
2014-05-20,武汉,重度污染,188,207,161,215,24,63,1.19,72,405.5,0.005001068115234375,100962.0,0.014227000065147877,173.25,296.489990234375,1.58599853515625
2014-05-21,武汉,重度污染,189,222,179,223,31,91,1.74,35,411.0,0.25250244140625,100960.0,0.013942000456154346,77.5,294.3299865722656,1.7739982604980469
2014-05-22,武汉,良,97,99,73,93,26,41,1.07,78,399.25,0.01000213623046875,100964.0,0.014733999967575073,253.0,297.8299865722656,1.977996826171875
2014-05-23,武汉,良,77,65,42,71,30,41,0.93,68,401.25,0.0625,100964.0,0.014933000318706036,262.0,298.3999938964844,3.9259986877441406
2014-05-24,武汉,良,95,62,39,62,22,42,1.0,32,432.75,0.20000076293945312,100964.0,0.017741000279784203,79.25,297.7200012207031,1.9539985656738281
2014-05-25,武汉,轻度污染,114,104,67,132,20,39,1.04,61,432.75,0.01000213623046875,100964.0,0.014588000252842903,79.0,298.239990234375,2.1579971313476562
2014-05-26,武汉,严重污染,189,282,136,406,23,38,0.71,80,398.5,0.045001983642578125,100964.0,0.011158999986946583,201.0,297.30999755859375,1.6519966125488281
2014-05-27,武汉,轻度污染,143,141,103,198,22,35,0.79,79,393.75,0.04000091552734375,100964.0,0.013787000440061092,268.25,297.7099914550781,2.2419967651367188
2014-05-28,武汉,轻度污染,137,125,86,192,26,70,0.92,70,418.0,0.0149993896484375,100966.0,0.015060000121593475,198.25,299.19000244140625,1.1739959716796875
2014-05-29,武汉,轻度污染,163,149,103,245,30,71,1.21,86,434.75,0.0,100968.0,0.01629599928855896,172.0,300.6600036621094,1.6479988098144531
2014-05-30,武汉,轻度污染,95,109,81,156,32,54,1.1,55,443.0,0.05500030517578125,100966.0,0.01720600016415119,87.0,299.6499938964844,2.2679977416992188
2014-05-31,武汉,良,69,74,52,81,26,38,1.11,40,439.75,0.0800018310546875,100966.0,0.017268000170588493,86.25,299.1600036621094,2.2819976806640625
2014-06-01,武汉,优,56,50,29,47,18,28,0.92,59,418.0,0.2800025939941406,100964.0,0.016248000785708427,135.25,297.05999755859375,2.2159957885742188
2014-06-02,武汉,良,146,83,47,77,21,26,0.76,116,388.5,0.005001068115234375,100964.0,0.01368900015950203,286.0,297.57000732421875,2.865997314453125
2014-06-03,武汉,良,134,75,47,76,22,23,0.69,116,373.75,0.0,100962.0,0.012409000657498837,303.75,296.1499938964844,2.8139991760253906
2014-06-04,武汉,良,162,100,64,111,33,46,1.0,118,402.5,0.0,100964.0,0.01355500053614378,218.25,297.6300048828125,2.1079978942871094
2014-06-05,武汉,轻度污染,171,122,80,150,33,61,1.11,124,402.0,0.0,100966.0,0.014414000324904919,282.75,299.5,2.0379981994628906
2014-06-06,武汉,轻度污染,166,143,106,191,38,63,1.24,145,430.75,0.00250244140625,100968.0,0.015744000673294067,177.75,300.53997802734375,1.451995849609375
2014-06-07,武汉,轻度污染,176,142,106,165,22,41,1.1,148,410.5,0.005001068115234375,100968.0,0.015351000241935253,271.75,300.19000244140625,2.0319976806640625
2014-06-08,武汉,中度污染,184,173,130,221,37,78,1.61,101,436.25,0.0,100964.0,0.015464000403881073,74.25,298.3699951171875,1.8819961547851562
2014-06-09,武汉,中度污染,190,200,150,230,28,70,1.5,111,439.5,0.020000457763671875,100968.0,0.016944000497460365,161.0,301.2699890136719,1.3799972534179688
2014-06-10,武汉,轻度污染,179,150,113,184,26,50,1.12,115,428.75,0.00250244140625,100970.0,0.01713399961590767,235.75,301.8800048828125,1.1679954528808594
2014-06-11,武汉,轻度污染,182,148,111,182,28,57,1.17,118,425.5,0.0,100968.0,0.016752999275922775,253.75,301.5,1.9259986877441406
2014-06-12,武汉,严重污染,190,259,224,296,24,52,1.54,137,437.75,0.00749969482421875,100966.0,0.015134000219404697,84.5,298.989990234375,2.3819961547851562
2014-06-13,武汉,重度污染,184,203,154,226,30,61,1.42,127,431.25,0.00250244140625,100966.0,0.014427999965846539,143.0,299.80999755859375,1.9179954528808594
2014-06-14,武汉,轻度污染,152,137,102,154,25,43,1.12,121,439.5,0.0,100966.0,0.014407000504434109,96.5,299.9700012207031,2.3779983520507812
2014-06-15,武汉,轻度污染,128,120,90,122,18,30,1.04,106,425.5,0.0149993896484375,100964.0,0.014955000020563602,87.25,296.92999267578125,1.9639968872070312
2014-06-16,武汉,良,95,89,64,84,16,34,0.98,70,421.25,0.0625,100962.0,0.015426000580191612,80.0,296.0199890136719,1.253997802734375
2014-06-17,武汉,良,148,96,71,90,19,40,0.87,79,425.0,0.005001068115234375,100964.0,0.015325000509619713,102.75,297.4499816894531,1.727996826171875
2014-06-18,武汉,轻度污染,166,114,79,122,32,44,1.2,117,410.0,0.0,100968.0,0.015796000137925148,287.75,300.4700012207031,1.9739990234375
2014-06-19,武汉,轻度污染,152,103,71,112,34,37,1.21,107,427.25,0.00250244140625,100970.0,0.01719300076365471,288.5,302.5,2.4099960327148438
2014-06-20,武汉,轻度污染,186,135,100,144,21,30,1.18,100,436.25,0.38249969482421875,100968.0,0.01718899980187416,167.0,300.8699951171875,4.551998138427734
2014-06-21,武汉,轻度污染,183,110,81,104,17,23,1.02,118,427.5,0.0,100964.0,0.014560000039637089,83.0,297.30999755859375,3.4319992065429688
2014-06-22,武汉,轻度污染,176,107,75,112,23,35,1.11,132,441.25,0.0175018310546875,100968.0,0.016547000035643578,104.75,300.05999755859375,1.8699989318847656
2014-06-23,武汉,良,153,88,63,101,21,47,1.03,87,435.0,0.1425018310546875,100966.0,0.01667100004851818,110.5,299.16998291015625,1.7639961242675781
2014-06-24,武汉,良,105,77,46,75,18,35,0.72,87,433.75,0.10250091552734375,100966.0,0.013376000337302685,85.5,298.72998046875,2.28399658203125
2014-06-25,武汉,良,94,60,35,58,29,39,0.86,48,430.5,0.0625,100964.0,0.016674000769853592,81.25,297.3399963378906,2.233997344970703
2014-06-26,武汉,优,26,39,23,31,18,35,0.86,37,418.25,1.9150009155273438,100962.0,0.016127001494169235,72.5,295.3599853515625,1.3339958190917969
2014-06-27,武汉,良,75,53,31,50,13,36,0.9,53,427.5,0.034999847412109375,100964.0,0.017196999862790108,120.5,298.1000061035156,2.0459976196289062
